Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
AOS:US,SMITH AO CORP,US,,Industrials,64.35,6.15%,6.58%,7.09%,2.24%,6.55%,10.32%,16.55x,14.70x,16.62x
APA:US,APA CORP,US,BBB-,Energy,42.04,,20.00%,71.37%,2.38%,-2.41%,-28.30%,10.76x,3.46x,8.70x
APD:US,AIR PRODUCTS & CHEMICALS INC,US,A,Materials,293.55,1.14%,4.53%,7.41%,2.47%,7.71%,56.01%,23.40x,17.42x,
APH:US,AMPHENOL CORP,US,A-,Information Technology,128.00,35.46%,23.27%,23.90%,0.78%,18.60%,91.45%,35.61x,29.37x,35.71x
APTV:US,APTIV PLC,US,,Consumer Discretionary,60.99,,,-100.00%,,9.60%,-39.75%,9.04x,7.14x,10.86x
ARE:US,ALEXANDRIA REAL ESTATE EQUITIES INC,US,BBB+,Real Estate,43.23,-9.83%,-0.04%,2.18%,6.66%,77.84%,,,5.18x,6.43x
ATO:US,ATMOS ENERGY CORP,US,A-,Utilities,188.97,8.08%,8.56%,8.64%,2.12%,8.05%,60.14%,24.02x,14.30x,
AVA:US,AVISTA CORP,US,BBB,Utilities,41.34,3.16%,3.66%,3.89%,4.77%,7.81%,14.11%,17.12x,6.84x,
AVB:US,AVALONBAY COMMUNITIES INC,US,A-,Real Estate,166.02,2.94%,3.25%,1.95%,4.29%,-7.81%,64.13%,24.62x,14.75x,16.49x
AVGO:US,BROADCOM INC,US,A-,Information Technology,314.55,12.11%,12.90%,12.67%,0.83%,43.33%,-16.72%,36.09x,40.53x,41.52x
AVY:US,AVERY DENNISON CORP,US,BBB,Materials,171.47,7.25%,8.09%,9.43%,2.19%,9.08%,18.01%,17.70x,14.38x,18.15x
AWK:US,AMERICAN WATER WORKS CO INC,US,A,Utilities,138.14,8.16%,8.15%,8.60%,2.40%,7.74%,59.00%,23.85x,12.84x,
AWR:US,AMERICAN STATES WATER CO,US,A,Utilities,77.59,8.26%,8.34%,8.66%,2.60%,7.29%,49.79%,22.47x,13.14x,
AXP:US,AMERICAN EXPRESS CO,US,A-,Financials,300.18,17.04%,16.67%,13.14%,1.27%,14.65%,25.55%,18.83x,,
AZO:US,AUTOZONE INC,US,BBB,Consumer Discretionary,"3,400.54",,,,,12.49%,53.90%,23.08x,16.79x,29.85x
BA:US,BOEING CO,US,BBB-,Industrials,208.22,,,-100.00%,,112.34%,105.47%,203.41x,70.43x,
BAC:US,BANK OF AMERICA CORP,US,A-,Financials,49.38,8.00%,7.89%,8.45%,2.27%,14.74%,-16.51%,12.52x,,
BALL:US,BALL CORP,US,BB+,Materials,59.97,,,6.19%,1.33%,12.72%,8.99%,16.35x,12.39x,19.98x
BAX:US,BAXTER INTERNATIONAL INC,US,BBB-,Health Care,16.68,-50.00%,-19.83%,-7.97%,0.24%,1.05%,-26.50%,7.80x,8.70x,16.75x
BBY:US,BEST BUY CO INC,US,BBB+,Consumer Discretionary,64.50,1.06%,2.59%,12.15%,5.95%,6.32%,-33.24%,10.01x,6.77x,10.54x
BDX:US,BECTON DICKINSON & CO,US,BBB,Health Care,154.51,9.47%,6.60%,6.21%,2.72%,8.21%,-13.50%,12.98x,14.19x,15.00x
BEN:US,FRANKLIN RESOURCES INC,US,A,Financials,23.40,3.23%,3.34%,3.46%,5.64%,10.69%,-35.43%,9.68x,,25.56x
BF.B:US,BROWN FORMAN CORP,US,A-,Consumer Staples,26.75,4.96%,-14.07%,21.42%,3.45%,-2.13%,1.50%,15.23x,13.39x,15.89x
BIIB:US,BIOGEN INC,US,BBB+,Health Care,177.34,,,,,3.92%,-23.25%,11.51x,11.25x,12.25x
BIO:US,BIO RAD LABORATORIES INC,US,BBB,Health Care,279.99,,,,,9.69%,86.60%,27.99x,14.86x,20.18x
BK:US,BANK OF NEW YORK MELLON CORP,US,A,Financials,122.13,12.36%,12.10%,10.07%,1.74%,10.49%,6.58%,15.99x,,
BKH:US,BLACK HILLS CORP,US,BBB+,Utilities,70.83,4.00%,3.91%,4.50%,3.97%,6.46%,13.43%,17.01x,7.90x,
BKNG:US,BOOKING HOLDINGS INC,US,A-,Consumer Discretionary,"4,194.31",9.71%,9.71%,9.71%,0.94%,17.11%,3.02%,17.62x,14.01x,14.57x
